n_classifiers,n_nodes,accuracy
100,"[15, 17, 9, 13, 15, 17, 13, 15, 11, 11, 11, 11, 15, 17, 17, 15, 17, 17, 13, 11, 13, 15, 17, 15, 13, 11, 13, 11, 15, 13, 15, 15, 15, 11, 11, 15, 11, 13, 11, 13, 11, 9, 13, 13, 13, 13, 7, 11, 15, 17, 13, 11, 11, 11, 15, 17, 13, 13, 11, 17, 13, 13, 11, 13, 15, 9, 11, 11, 11, 13, 15, 17, 11, 19, 15, 17, 13, 9, 9, 15, 9, 11, 17, 11, 17, 13, 9, 15, 15, 9, 11, 13, 13, 15, 13, 13, 11, 11, 13, 13]",0.6166666666666667
5,"[19, 9, 15, 15, 13]",0.4
10,"[15, 13, 13, 13, 11, 13, 15, 15, 11, 13]",0.55
25,"[13, 11, 17, 11, 11, 11, 9, 15, 15, 15, 15, 15, 11, 11, 13, 15, 13, 13, 13, 13, 9, 13, 13, 11, 15]",0.5833333333333334
50,"[15, 15, 15, 15, 11, 13, 15, 13, 13, 15, 13, 13, 15, 9, 17, 13, 11, 9, 11, 17, 17, 13, 17, 13, 9, 13, 11, 11, 17, 11, 11, 13, 15, 9, 13, 13, 15, 15, 15, 15, 9, 17, 11, 17, 15, 17, 17, 13, 11, 11]",0.5666666666666667
75,"[9, 9, 11, 11, 13, 13, 13, 11, 19, 15, 15, 13, 13, 11, 9, 19, 13, 9, 15, 13, 17, 15, 15, 13, 17, 17, 11, 13, 15, 13, 15, 9, 17, 15, 11, 13, 15, 11, 11, 15, 15, 11, 13, 13, 11, 13, 13, 15, 13, 13, 11, 13, 15, 15, 15, 15, 11, 17, 13, 13, 13, 17, 15, 11, 9, 11, 11, 11, 9, 15, 15, 19, 11, 11, 11]",0.6333333333333333
100,"[15, 11, 15, 15, 15, 11, 15, 15, 13, 15, 11, 15, 17, 15, 15, 13, 13, 15, 15, 15, 11, 13, 15, 9, 9, 13, 15, 15, 13, 11, 9, 13, 13, 15, 15, 11, 17, 13, 13, 13, 9, 11, 11, 11, 11, 9, 11, 13, 11, 15, 13, 13, 13, 9, 13, 13, 13, 11, 13, 13, 11, 11, 9, 9, 13, 11, 13, 17, 11, 13, 11, 13, 15, 19, 13, 11, 13, 17, 17, 13, 13, 13, 11, 13, 11, 13, 13, 9, 13, 11, 17, 13, 11, 7, 17, 11, 13, 11, 9, 11]",0.6
5,"[13, 11, 9, 17, 17]",0.5166666666666667
10,"[11, 19, 13, 17, 13, 19, 13, 13, 13, 13]",0.5666666666666667
25,"[9, 11, 13, 13, 13, 9, 11, 13, 17, 11, 15, 11, 11, 15, 13, 15, 13, 15, 11, 13, 15, 15, 11, 13, 9]",0.5666666666666667
50,"[13, 13, 13, 15, 13, 13, 13, 13, 11, 13, 11, 11, 17, 11, 13, 13, 15, 9, 13, 11, 13, 13, 13, 13, 17, 15, 15, 15, 13, 13, 17, 13, 13, 13, 13, 19, 13, 11, 15, 15, 13, 11, 13, 15, 17, 9, 13, 13, 11, 13]",0.5666666666666667
75,"[15, 15, 13, 11, 13, 11, 13, 13, 13, 13, 17, 11, 15, 17, 11, 11, 17, 13, 13, 21, 13, 13, 13, 13, 13, 13, 15, 13, 11, 15, 17, 15, 13, 13, 15, 17, 15, 11, 11, 13, 13, 15, 9, 13, 13, 11, 15, 13, 13, 15, 15, 9, 11, 15, 13, 11, 13, 9, 13, 15, 13, 11, 9, 11, 13, 9, 15, 17, 11, 13, 13, 13, 13, 13, 15]",0.6166666666666667
100,"[11, 11, 15, 13, 15, 13, 11, 15, 11, 13, 13, 13, 17, 11, 15, 9, 13, 9, 13, 11, 15, 15, 9, 11, 17, 15, 11, 11, 7, 19, 15, 15, 13, 15, 13, 9, 17, 13, 15, 15, 11, 13, 15, 9, 9, 13, 13, 9, 13, 11, 15, 13, 11, 11, 13, 13, 11, 11, 13, 9, 13, 13, 19, 13, 11, 15, 11, 13, 17, 15, 15, 11, 15, 13, 13, 15, 15, 11, 13, 13, 11, 11, 15, 13, 15, 11, 13, 11, 11, 13, 15, 13, 11, 15, 9, 11, 13, 13, 11, 15]",0.6166666666666667
5,"[13, 15, 11, 13, 11]",0.5
10,"[11, 11, 9, 17, 11, 15, 9, 11, 13, 11]",0.6166666666666667
25,"[9, 15, 13, 11, 15, 15, 13, 11, 15, 15, 13, 13, 13, 11, 19, 13, 11, 17, 13, 11, 13, 13, 15, 11, 13]",0.5833333333333334
50,"[15, 11, 15, 17, 17, 11, 15, 15, 9, 15, 15, 15, 15, 11, 13, 15, 11, 15, 13, 13, 11, 9, 15, 11, 15, 13, 13, 15, 11, 11, 15, 13, 13, 13, 13, 15, 13, 13, 13, 13, 13, 13, 9, 9, 13, 15, 11, 11, 15, 11]",0.6
75,"[13, 11, 11, 15, 13, 13, 13, 15, 13, 9, 13, 11, 13, 11, 11, 13, 17, 15, 11, 13, 11, 13, 13, 13, 13, 11, 13, 13, 13, 15, 11, 13, 15, 15, 11, 11, 15, 11, 13, 15, 9, 15, 17, 15, 17, 17, 15, 17, 13, 13, 13, 13, 17, 13, 15, 13, 15, 11, 15, 11, 13, 11, 13, 15, 13, 15, 13, 11, 13, 11, 9, 15, 13, 13, 15]",0.6166666666666667
