n_classifiers,n_nodes,accuracy
100,"[15, 33, 11, 11, 25, 7, 21, 13, 7, 21, 7, 11, 7, 7, 15, 17, 7, 7, 15, 9, 15, 21, 15, 21, 15, 15, 15, 17, 21, 7, 11, 45, 11, 15, 7, 15, 15, 15, 7, 15, 21, 15, 21, 25, 15, 11, 13, 15, 21, 15, 15, 13, 11, 7, 13, 29, 11, 13, 15, 15, 29, 15, 11, 11, 15, 7, 17, 11, 7, 19, 13, 15, 13, 7, 21, 11, 15, 13, 13, 25, 17, 15, 15, 7, 17, 13, 11, 7, 7, 15, 11, 7, 17, 7, 17, 13, 9, 15, 27, 15]",0.6969525503192951
5,"[7, 7, 7, 11, 11]",0.7090776816748848
10,"[11, 7, 7, 7, 7, 15, 11, 11, 23, 11]",0.7090776816748848
25,"[7, 9, 7, 7, 13, 13, 13, 13, 9, 17, 13, 9, 7, 13, 17, 13, 7, 13, 13, 7, 13, 7, 13, 17, 7]",0.7185757012367634
50,"[7, 7, 25, 9, 7, 13, 9, 13, 17, 17, 13, 9, 17, 9, 9, 7, 13, 13, 9, 17, 13, 7, 13, 7, 9, 9, 17, 7, 13, 7, 13, 13, 7, 13, 9, 13, 17, 9, 9, 13, 13, 13, 13, 13, 9, 9, 7, 13, 9, 13]",0.7185757012367634
75,"[13, 13, 13, 13, 17, 13, 7, 13, 13, 9, 13, 13, 7, 13, 13, 9, 13, 7, 7, 25, 17, 9, 7, 7, 7, 17, 9, 9, 7, 13, 13, 7, 7, 9, 13, 9, 9, 7, 13, 7, 9, 9, 13, 13, 7, 17, 17, 9, 7, 13, 25, 13, 9, 9, 9, 7, 9, 9, 7, 9, 7, 7, 7, 13, 13, 7, 13, 17, 9, 9, 17, 9, 13, 13, 13]",0.7185757012367634
100,"[13, 9, 13, 9, 9, 7, 13, 7, 9, 7, 17, 9, 17, 7, 13, 9, 13, 17, 13, 13, 13, 7, 7, 9, 7, 9, 7, 13, 9, 17, 7, 17, 13, 13, 13, 7, 13, 13, 9, 13, 17, 13, 25, 9, 9, 13, 17, 7, 13, 7, 13, 13, 7, 7, 7, 7, 7, 9, 13, 9, 13, 13, 7, 9, 13, 7, 7, 9, 9, 9, 13, 9, 9, 7, 13, 9, 13, 13, 13, 7, 25, 17, 13, 7, 9, 13, 9, 7, 17, 13, 7, 7, 9, 13, 13, 13, 9, 13, 13, 13]",0.7185757012367634
5,"[11, 11, 11, 15, 11]",0.7119472960957077
10,"[11, 7, 7, 11, 15, 7, 11, 7, 15, 7]",0.7169994341605367
25,"[11, 15, 11, 11, 7, 11, 7, 11, 11, 7, 7, 11, 15, 15, 11, 7, 11, 11, 15, 11, 15, 21, 19, 15, 11]",0.7070972435534718
50,"[11, 7, 9, 19, 11, 11, 7, 11, 7, 15, 7, 15, 7, 7, 7, 7, 7, 7, 11, 11, 7, 15, 11, 11, 11, 11, 7, 7, 7, 15, 7, 11, 15, 15, 11, 7, 15, 11, 15, 7, 11, 11, 15, 11, 7, 7, 11, 15, 29, 11]",0.710371029019481
75,"[11, 15, 11, 15, 15, 15, 7, 7, 15, 11, 11, 11, 11, 15, 11, 7, 11, 7, 15, 21, 11, 11, 7, 11, 11, 7, 11, 15, 11, 19, 11, 11, 11, 7, 11, 11, 7, 15, 15, 11, 11, 15, 11, 15, 11, 7, 11, 29, 7, 15, 15, 11, 11, 7, 11, 7, 11, 15, 7, 11, 7, 11, 23, 7, 7, 7, 11, 15, 7, 11, 11, 11, 15, 15, 11]",0.7098456066607388
100,"[11, 11, 11, 7, 11, 11, 11, 15, 7, 7, 7, 11, 11, 15, 7, 7, 15, 15, 15, 7, 15, 11, 11, 7, 11, 11, 11, 11, 11, 11, 11, 11, 15, 7, 11, 15, 7, 7, 11, 11, 19, 11, 7, 15, 11, 11, 7, 11, 23, 7, 7, 7, 7, 11, 11, 11, 15, 7, 7, 15, 7, 9, 15, 15, 15, 7, 7, 11, 11, 15, 15, 15, 11, 7, 11, 11, 11, 15, 11, 15, 11, 15, 15, 21, 15, 11, 11, 7, 7, 11, 11, 7, 7, 29, 11, 7, 15, 11, 7, 11]",0.7118664618866705
5,"[7, 7, 7, 7, 7]",0.7026109449519037
10,"[27, 15, 7, 7, 15, 15, 27, 11, 7, 11]",0.6904049793872767
25,"[7, 7, 7, 7, 7, 7, 7, 7, 11, 7, 7, 11, 7, 7, 7, 7, 11, 7, 7, 7, 11, 7, 7, 7, 7]",0.7099264408697761
