n_classifiers,n_nodes,accuracy
100,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 15, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11, 7, 15, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 15, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 15, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 15, 7, 7, 7, 7, 7, 7, 7, 7, 7, 15, 7, 7, 7, 15, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",0.7666666666666667
5,"[7, 19, 15, 7, 7]",0.7166666666666667
10,"[7, 7, 7, 7, 23, 15, 11, 19, 11, 11]",0.7666666666666667
25,"[7, 7, 15, 7, 15, 31, 7, 7, 23, 73, 7, 31, 7, 7, 7, 19, 7, 89, 73, 7, 63, 15, 73, 55, 15]",0.7666666666666667
50,"[31, 11, 47, 7, 147, 27, 15, 15, 11, 7, 7, 63, 63, 11, 15, 15, 23, 19, 7, 7, 23, 7, 19, 71, 31, 7, 7, 89, 15, 73, 15, 71, 73, 7, 7, 7, 63, 55, 15, 7, 15, 15, 1747, 7, 23, 7, 55, 15, 7, 7]",0.7666666666666667
75,"[7, 11, 63, 7, 15, 15, 15, 71, 31, 15, 7, 15, 15, 73, 1747, 147, 7, 7, 15, 15, 47, 15, 19, 55, 115, 23, 23, 31, 63, 115, 27, 7, 73, 7, 7, 19, 7, 11, 63, 15, 7, 7, 15, 7, 15, 55, 31, 73, 7, 7, 11, 73, 7, 19, 15, 7, 7, 7, 23, 73, 89, 7, 39, 19, 15, 7, 7, 23, 73, 7, 73, 15, 59, 73, 71]",0.7666666666666667
100,"[15, 7, 15, 79, 7, 47, 19, 23, 39, 11, 55, 11, 7, 47, 23, 23, 11, 139, 95, 15, 11, 15, 139, 7, 19, 79, 11, 11, 27, 7, 139, 7, 15, 15, 15, 63, 15, 47, 23, 39, 27, 27, 7, 15, 139, 19, 15, 19, 11, 79, 39, 15, 27, 11, 27, 15, 51, 71, 7, 15, 11, 19, 19, 159, 7, 27, 19, 19, 27, 51, 19, 11, 15, 23, 79, 79, 47, 11, 11, 19, 15, 19, 23, 15, 23, 79, 7, 15, 15, 27, 27, 79, 15, 15, 63, 19, 27, 23, 15, 79]",0.7666666666666667
5,"[11, 15, 11, 7, 11]",0.7666666666666667
10,"[13, 7, 13, 7, 13, 7, 21, 7, 15, 7]",0.7666666666666667
25,"[7, 7, 7, 7, 13, 13, 13, 11, 15, 7, 9, 11, 15, 7, 13, 9, 15, 7, 7, 9, 7, 21, 13, 7, 7]",0.7666666666666667
50,"[13, 9, 9, 15, 7, 15, 7, 7, 7, 7, 15, 13, 9, 9, 7, 7, 13, 7, 7, 7, 15, 7, 15, 13, 15, 7, 13, 9, 7, 7, 7, 7, 7, 13, 13, 9, 7, 15, 7, 7, 13, 13, 13, 15, 9, 7, 9, 11, 13, 7]",0.7666666666666667
75,"[7, 13, 9, 7, 13, 13, 7, 7, 7, 7, 7, 9, 7, 7, 9, 7, 9, 13, 13, 15, 7, 9, 7, 7, 9, 13, 7, 7, 15, 7, 13, 13, 15, 7, 9, 7, 7, 15, 13, 9, 15, 15, 7, 7, 7, 11, 7, 7, 7, 13, 9, 7, 7, 9, 15, 7, 7, 7, 7, 7, 7, 9, 7, 13, 9, 15, 15, 9, 13, 13, 15, 29, 9, 13, 7]",0.7666666666666667
100,"[7, 15, 15, 9, 7, 7, 7, 7, 9, 13, 7, 7, 15, 21, 7, 13, 7, 7, 7, 7, 13, 15, 7, 9, 9, 15, 11, 7, 13, 9, 9, 7, 7, 13, 7, 7, 7, 15, 15, 7, 7, 11, 7, 9, 7, 9, 13, 15, 15, 7, 7, 7, 9, 11, 9, 7, 7, 13, 13, 9, 9, 7, 9, 7, 9, 7, 7, 7, 7, 13, 13, 13, 7, 7, 7, 7, 15, 7, 9, 15, 7, 7, 13, 7, 13, 13, 7, 7, 13, 11, 13, 15, 7, 9, 29, 7, 15, 9, 7, 7]",0.7666666666666667
5,"[31, 11, 107, 111, 43]",0.7666666666666667
10,"[7, 7, 9, 7, 9, 59, 15, 9, 7, 7]",0.7833333333333333
25,"[43, 47, 7, 23, 39, 51, 39, 27, 199, 15, 39, 39, 31, 31, 7, 47, 31, 43, 43, 55, 55, 55, 1739, 47, 7]",0.7333333333333333
50,"[23, 11, 107, 47, 43, 47, 27, 107, 59, 43, 115, 15, 111, 7, 55, 39, 47, 7, 27, 51, 35, 39, 11, 47, 7, 31, 47, 43, 31, 43, 55, 31, 31, 27, 23, 15, 23, 23, 27, 171, 39, 31, 7, 55, 31, 1135, 7, 31, 31, 43]",0.7666666666666667
75,"[111, 47, 31, 23, 55, 31, 43, 115, 7, 31, 199, 35, 47, 39, 27, 55, 39, 107, 39, 7, 11, 47, 11, 3463, 43, 31, 43, 111, 31, 171, 83, 47, 27, 47, 31, 11, 23, 27, 43, 55, 31, 39, 27, 107, 879, 11, 11, 27, 31, 27, 11, 27, 7, 111, 15, 15, 55, 43, 7, 43, 7, 111, 107, 31, 7, 31, 31, 75, 59, 23, 83, 163, 1739, 27, 7]",0.7166666666666667
100,"[35, 71, 15, 35, 7, 39, 71, 123, 55, 43, 35, 119, 15, 39, 19, 55, 43, 7, 71, 55, 15, 15, 11, 19, 15, 15, 11, 19, 55, 107, 55, 15, 59, 119, 7, 167, 123, 7, 71, 63, 11, 71, 31, 15, 43, 63, 63, 71, 7, 61, 7, 123, 285, 123, 15, 31, 11, 39, 19, 71, 119, 11, 11, 71, 123, 43, 7, 43, 15, 15, 15, 119, 39, 55, 43, 119, 7, 55, 15, 39, 55, 7, 39, 15, 67, 7, 71, 71, 7, 339, 19, 143, 135, 19, 63, 39, 71, 61, 11, 55]",0.75
5,"[31, 7, 11, 7, 7]",0.7833333333333333
10,"[7, 11, 31, 11, 7, 7, 7, 11, 7, 7]",0.7666666666666667
25,"[31, 23, 15, 7, 7, 31, 11, 31, 7, 15, 15, 11, 7, 7, 11, 15, 11, 15, 7, 31, 11, 7, 7, 31, 31]",0.7666666666666667
50,"[7, 7, 7, 15, 7, 7, 7, 7, 7, 7, 15, 7, 7, 15, 15, 7, 15, 7, 7, 7, 15, 7, 15, 7, 7, 15, 7, 15, 7, 7, 7, 7, 15, 7, 7, 7, 7, 7, 15, 7, 7, 7, 7, 7, 7, 7, 11, 7, 7, 7]",0.7666666666666667
