n_classifiers,n_nodes,accuracy
100,"[9, 9, 11, 13, 15, 9, 7, 15, 9, 9, 15, 11, 9, 13, 9, 13, 7, 11, 11, 9, 11, 11, 9, 9, 11, 9, 9, 9, 11, 13, 9, 9, 13, 9, 11, 7, 7, 13, 7, 11, 13, 9, 11, 13, 11, 15, 13, 11, 11, 9, 9, 13, 9, 11, 11, 11, 7, 13, 9, 11, 11, 13, 13, 11, 11, 13, 13, 11, 11, 11, 9, 11, 11, 11, 11, 11, 9, 9, 9, 9, 13, 11, 9, 7, 7, 11, 11, 11, 13, 5, 9, 13, 9, 11, 13, 7, 11, 9, 11, 9]",0.8688524590163934
5,"[13, 9, 5, 11, 11]",0.7868852459016393
10,"[9, 11, 13, 13, 11, 15, 11, 11, 7, 11]",0.8032786885245902
25,"[9, 7, 9, 11, 11, 13, 13, 9, 11, 9, 11, 11, 9, 9, 13, 11, 13, 11, 7, 13, 13, 13, 13, 7, 11]",0.819672131147541
50,"[9, 13, 15, 11, 7, 11, 13, 11, 11, 9, 7, 11, 7, 7, 11, 13, 11, 11, 9, 11, 11, 7, 9, 13, 9, 9, 9, 13, 9, 9, 11, 13, 9, 11, 9, 11, 11, 9, 11, 9, 9, 9, 9, 7, 9, 9, 11, 9, 11, 11]",0.9508196721311475
75,"[7, 11, 13, 11, 11, 9, 7, 9, 11, 9, 9, 9, 9, 9, 7, 7, 11, 15, 9, 11, 13, 11, 13, 11, 11, 13, 11, 9, 7, 11, 11, 11, 11, 9, 9, 7, 9, 11, 9, 9, 5, 9, 9, 9, 11, 9, 11, 11, 7, 9, 9, 15, 9, 11, 9, 9, 9, 9, 9, 9, 7, 11, 7, 9, 11, 9, 11, 11, 9, 7, 7, 15, 13, 13, 13]",0.8852459016393442
100,"[7, 11, 13, 9, 11, 11, 7, 5, 9, 11, 7, 7, 11, 11, 9, 11, 13, 9, 11, 9, 11, 11, 11, 11, 13, 13, 13, 11, 7, 13, 9, 9, 13, 9, 11, 11, 13, 11, 11, 9, 9, 9, 9, 7, 11, 11, 11, 11, 9, 11, 9, 7, 9, 15, 11, 9, 7, 9, 9, 13, 9, 7, 9, 9, 11, 13, 9, 5, 13, 9, 11, 9, 7, 9, 11, 9, 13, 9, 11, 9, 11, 7, 15, 9, 13, 7, 13, 7, 13, 13, 11, 11, 7, 11, 9, 11, 7, 11, 7, 11]",0.8524590163934426
5,"[11, 11, 11, 9, 13]",0.7377049180327869
10,"[13, 13, 9, 9, 7, 13, 13, 11, 11, 11]",0.7704918032786885
25,"[11, 9, 11, 13, 11, 9, 9, 9, 9, 9, 11, 11, 11, 9, 11, 9, 9, 7, 9, 9, 9, 9, 9, 13, 9]",0.9016393442622951
