n_classifiers,n_nodes,accuracy
100,"[7, 15, 15, 31, 31, 31, 7, 15, 15, 31, 31, 63, 31, 15, 31, 31, 31, 7, 31, 7, 31, 7, 31, 31, 31, 31, 7, 31, 7, 31, 27, 31, 31, 7, 7, 31, 31, 7, 31, 7, 31, 31, 7, 7, 31, 7, 31, 31, 7, 15, 31, 23, 31, 31, 31, 7, 31, 31, 31, 7, 31, 15, 29, 31, 31, 7, 31, 31, 31, 31, 7, 7, 7, 31, 7, 31, 31, 31, 31, 15, 31, 31, 31, 31, 7, 9, 31, 7, 7, 7, 15, 7, 31, 31, 31, 31, 7, 31, 7, 7]",0.8524590163934426
5,"[7, 15, 7, 15, 11]",0.5081967213114754
10,"[19, 11, 31, 19, 7, 87, 31, 7, 31, 19]",0.7049180327868853
25,"[11, 11, 19, 19, 7, 7, 7, 19, 11, 31, 31, 11, 7, 19, 23, 31, 7, 7, 7, 31, 7, 7, 19, 7, 19]",0.7213114754098361
50,"[7, 7, 7, 15, 7, 7, 7, 15, 7, 7, 7, 7, 7, 7, 7, 11, 11, 7, 7, 7, 11, 7, 11, 7, 7, 15, 7, 11, 7, 7, 7, 7, 7, 15, 7, 7, 7, 15, 7, 7, 7, 7, 15, 11, 11, 7, 7, 7, 11, 11]",0.45901639344262296
75,"[7, 7, 31, 7, 7, 7, 19, 11, 19, 31, 7, 19, 87, 11, 11, 7, 7, 11, 7, 7, 31, 11, 7, 7, 31, 31, 7, 23, 11, 19, 7, 7, 7, 7, 11, 87, 7, 7, 15, 11, 31, 7, 11, 19, 7, 7, 31, 7, 19, 87, 31, 7, 11, 31, 23, 19, 7, 7, 7, 7, 31, 19, 11, 19, 15, 7, 7, 11, 31, 7, 11, 7, 7, 87, 31]",0.7049180327868853
100,"[7, 7, 7, 11, 7, 7, 7, 7, 11, 31, 7, 11, 7, 11, 19, 7, 87, 31, 19, 7, 7, 7, 11, 19, 19, 31, 7, 7, 11, 19, 11, 7, 7, 7, 7, 7, 7, 11, 19, 7, 7, 31, 7, 15, 7, 91, 19, 23, 7, 31, 7, 11, 7, 7, 31, 87, 7, 11, 11, 7, 19, 31, 11, 87, 7, 19, 7, 23, 87, 59, 15, 7, 19, 7, 31, 11, 11, 11, 87, 87, 7, 31, 11, 31, 23, 31, 31, 11, 23, 7, 19, 7, 7, 19, 7, 87, 31, 19, 31, 19]",0.7049180327868853
5,"[27, 7, 19, 7, 11]",0.6229508196721312
10,"[11, 11, 11, 7, 27, 7, 7, 7, 11, 19]",0.6721311475409836
25,"[7, 7, 7, 7, 7, 7, 7, 11, 11, 11, 7, 7, 7, 7, 7, 7, 11, 7, 7, 7, 7, 7, 7, 23, 7]",0.6721311475409836
