n_classifiers,n_nodes,accuracy
100,"[15, 15, 7, 11, 15, 7, 7, 11, 7, 11, 7, 7, 7, 21, 7, 7, 11, 7, 7, 7, 7, 15, 11, 7, 7, 7, 11, 7, 15, 11, 7, 15, 7, 7, 7, 7, 11, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 15, 7, 11, 11, 7, 15, 15, 7, 7, 7, 7, 15, 7, 7, 7, 15, 7, 7, 7, 15, 7, 9, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11, 7, 7, 7, 7, 3, 9, 7, 7, 15, 7, 7, 11]",0.7108116989812685
5,"[7, 7, 7, 7, 7]",0.710483075911929
10,"[11, 7, 11, 7, 7, 15, 9, 15, 15, 7]",0.7108116989812685
25,"[15, 7, 7, 9, 15, 15, 7, 7, 11, 15, 7, 11, 7, 19, 7, 15, 7, 11, 27, 7, 11, 9, 15, 15, 7]",0.7108116989812685
50,"[11, 7, 7, 15, 7, 7, 7, 7, 15, 15, 11, 7, 15, 7, 9, 11, 11, 7, 7, 7, 7, 15, 15, 7, 7, 7, 7, 7, 15, 7, 7, 11, 7, 15, 11, 7, 11, 7, 15, 15, 7, 7, 19, 7, 9, 15, 7, 7, 15, 7]",0.7108116989812685
75,"[7, 7, 11, 7, 7, 19, 7, 17, 15, 7, 7, 9, 9, 7, 7, 11, 7, 11, 7, 7, 7, 7, 7, 9, 7, 11, 7, 19, 7, 7, 7, 7, 11, 7, 9, 7, 13, 9, 7, 7, 13, 7, 9, 13, 7, 7, 11, 7, 7, 9, 7, 7, 7, 11, 7, 9, 7, 7, 13, 9, 9, 9, 7, 7, 9, 9, 13, 13, 17, 7, 7, 7, 7, 9, 11]",0.7279000985869208
100,"[11, 15, 15, 7, 9, 7, 7, 7, 7, 15, 11, 15, 7, 7, 7, 19, 7, 7, 7, 11, 15, 7, 7, 7, 9, 7, 7, 11, 7, 11, 15, 7, 15, 15, 11, 15, 7, 7, 7, 15, 7, 15, 7, 15, 15, 7, 15, 7, 15, 7, 27, 11, 7, 7, 15, 11, 7, 27, 7, 7, 15, 7, 11, 7, 7, 9, 7, 7, 11, 19, 7, 15, 7, 7, 7, 7, 15, 7, 19, 7, 7, 15, 15, 7, 15, 15, 7, 7, 7, 27, 11, 15, 15, 15, 7, 7, 9, 51, 7, 15]",0.7108116989812685
5,"[7, 11, 7, 7, 7]",0.7108116989812685
10,"[15, 7, 9, 15, 9, 7, 7, 11, 7, 7]",0.7108116989812685
25,"[7, 7, 11, 7, 7, 7, 7, 7, 11, 7, 7, 7, 7, 11, 7, 7, 7, 11, 7, 7, 7, 7, 7, 7, 7]",0.7239566217548472
50,"[7, 7, 7, 7, 7, 7, 7, 11, 7, 7, 7, 7, 7, 7, 11, 7, 7, 7, 7, 7, 11, 7, 11, 7, 7, 11, 11, 7, 7, 7, 7, 7, 7, 7, 7, 11, 11, 7, 7, 11, 7, 7, 7, 7, 7, 11, 11, 7, 7, 11]",0.7114689451199474
75,"[7, 7, 7, 7, 11, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11, 7, 11, 11, 7, 7, 7, 7, 11, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11, 11, 7, 7, 7, 11, 7, 7, 11, 7, 7, 11, 7, 11, 11, 7, 7, 11, 11, 7, 7, 11, 11, 7, 11, 7, 7, 7, 7, 11, 7, 7, 7, 11, 7, 7, 7, 7, 7, 7]",0.710483075911929
100,"[7, 7, 11, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11, 11, 11, 11, 7, 7, 7, 7, 11, 7, 7, 7, 11, 7, 7, 7, 7, 11, 7, 11, 7, 7, 7, 7, 7, 7, 11, 7, 7, 11, 11, 7, 11, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11, 7, 11, 7, 11, 7, 7, 7, 7, 11, 7, 7, 7, 7, 7, 7, 7, 11, 11, 11, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11, 7, 11, 11, 7, 11, 7, 7, 7, 7, 7, 7, 7, 7]",0.7108116989812685
5,"[11, 15, 15, 15, 15]",0.7348011830430496
10,"[11, 7, 7, 15, 7, 11, 7, 15, 15, 11]",0.7348011830430496
25,"[15, 11, 15, 11, 11, 7, 15, 11, 15, 7, 27, 15, 7, 15, 15, 7, 11, 11, 15, 7, 11, 11, 11, 15, 15]",0.7348011830430496
50,"[11, 7, 7, 15, 15, 11, 7, 15, 11, 7, 15, 15, 7, 7, 11, 7, 15, 15, 11, 15, 11, 7, 11, 11, 7, 15, 15, 7, 19, 7, 7, 7, 7, 15, 7, 15, 7, 15, 15, 11, 11, 11, 7, 15, 15, 15, 15, 15, 15, 11]",0.7348011830430496
75,"[7, 11, 11, 15, 7, 7, 11, 15, 15, 11, 15, 15, 15, 11, 11, 7, 11, 11, 7, 15, 15, 7, 15, 15, 15, 15, 7, 11, 15, 11, 7, 15, 15, 15, 15, 19, 15, 7, 15, 7, 7, 11, 7, 7, 15, 11, 7, 15, 15, 11, 7, 15, 15, 11, 11, 11, 15, 15, 15, 15, 11, 11, 15, 11, 7, 11, 15, 11, 15, 11, 7, 15, 15, 15, 7]",0.7348011830430496
100,"[7, 11, 7, 15, 15, 11, 7, 15, 11, 15, 27, 7, 11, 11, 15, 11, 15, 11, 15, 11, 15, 11, 15, 7, 15, 11, 7, 15, 7, 15, 7, 11, 7, 11, 15, 15, 15, 7, 11, 15, 11, 15, 15, 11, 7, 15, 11, 11, 15, 15, 7, 15, 15, 15, 11, 7, 15, 15, 11, 15, 19, 11, 7, 7, 15, 15, 15, 15, 15, 11, 11, 7, 15, 15, 15, 7, 11, 7, 15, 15, 7, 7, 15, 11, 15, 7, 7, 15, 11, 7, 11, 15, 15, 15, 15, 7, 7, 15, 7, 11]",0.7348011830430496
5,"[7, 7, 7, 7, 7]",0.7108116989812685
10,"[11, 11, 13, 11, 9, 13, 13, 7, 13, 25]",0.7091685836345711
25,"[7, 7, 7, 7, 7, 17, 9, 7, 17, 17, 7, 7, 7, 9, 11, 15, 7, 7, 11, 7, 7, 7, 7, 19, 7]",0.7108116989812685
50,"[7, 15, 15, 7, 7, 15, 7, 21, 7, 7, 7, 7, 21, 15, 7, 15, 15, 15, 15, 15, 7, 15, 7, 7, 7, 15, 15, 7, 15, 15, 7, 7, 7, 7, 7, 7, 7, 15, 21, 7, 11, 7, 15, 7, 15, 15, 7, 15, 7, 7]",0.7108116989812685
75,"[7, 21, 7, 15, 15, 7, 11, 7, 15, 15, 15, 15, 7, 7, 7, 15, 7, 15, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 15, 7, 15, 15, 15, 15, 7, 7, 7, 7, 15, 15, 7, 7, 7, 7, 11, 7, 15, 15, 7, 7, 7, 15, 7, 7, 11, 21, 7, 7, 7, 15, 15, 7, 21, 15, 7, 21, 7, 7, 15, 15, 7, 7, 7, 7]",0.7088399605652317
